Year	Original_Title	German_Title	Genre	Tristan	Vincent	Average	RT_Critics	RT_Audience	IMDb	Poster
1982	Fast Times at Ridgemont High	Ich glaub’, ich steh’ im Wald	Coming-of-Age, Komödie				78	80	7.1	https://static2.tribute.ca/poster/160x236/fast-times-at-ridgemont-high-40th-anniversary-162443.jpg
1983	Rumble Fish		Drama				75	83	7.1	https://m.media-amazon.com/images/I/51AE1K4GHQL.__AC_SX300_SY300_QL70_ML2_.jpg
1983	Valley Girl	– Das Mädchen aus dem Tal	Coming-of-Age				83	57	6.4	
1984	Birdy		Drama				84	86	7.2	
1984	Racing with the Moon	Die Zeit verrinnt, die Navy ruft	Drama				60	52	6.6	
1984	Cotton Club		Drama, Musik				74	56	6.5	
1986	Peggy Sue Got Married	Peggy Sue hat geheiratet	Fantasy, Komödie				87	56	6.4	
1986	The Boy in Blue	Finish – Endspurt bis zum Sieg	Sportfilm				20	36	5.6	
1986	Moonstruck	Mondsüchtig	Romantik, Komödie				92	80	7.1	
1987	Raising Arizona	Arizona Junior	Krimi, Komödie				90	85	7.3	
1989	Vampire's Kiss		Krimi, Komödie				65	60	6.1	
1990	Fire Birds	– Wings of the Apache	Action, Krieg				10	23	4.8	
1990	Time to Kill	Zeit zu leben, Zeit zu sterben	Krimi, Drama	70	60	65	22	33	5.2	
1990	Wild at Heart	– Die Geschichte von Sailor und Lula	Drama, Krimi				69	79	7.2	
1991	Zandalee	– Das sechste Gebot	Drama				33	25	4.4	
1992	Honeymoon in Vegas	- aber nicht mit meiner Braut	Komödie				66	37	5.8	
1993	Amos & Andrew	– Zwei fast perfekte Chaoten	Komödie				17	30	5.6	
1993	Deadfall		Krimi, Thriller				34	37	3.5	
1993	Red Rock West		Krimi, Thriller				97	75	7	
1994	Guarding Tess	Tess und ihr Bodyguard	Action, Komödie				57	40	5.8	
1994	It Could Happen to You	2 Millionen Dollar Trinkgeld	Romantik, Komödie				71	59	6.4	
1994	Trapped in Paradise	Schneesturm im Paradies	Komödie				10	45	5.9	
1995	Kiss of Death		Krimi, Thriller				68	33	5.9	
1995	Leaving Las Vegas		Drama				91	85	7.5	
1996	The Rock	– Fels der Entscheidung	Action	84	80	82	67	85	7.4	
1997	Con Air		Action		72	72	58	75	6.9	
1997	Face/Off	Im Körper des Feindes	Action, Thriller		82	82	93	82	7.3	
1998	City of Angels	Stadt der Engel	Romantik, Fantasy				57	82	6.7	
1998	Snake Eyes	Spiel auf Zeit	Action, Krimi	95	95	95	42	37	6.1	
1999	8mm	– Acht Millimeter	Krimi, Thriller	80	85	83	23	59	6.6	
1999	Bringing Out the Dead	– Nächte der Erinnerung	Drama				73	66	6.8	
2000	Gone in 60 Seconds	Nur noch 60 Sekunden	Action	75	72	74	25	77	6.5	
2000	The Family Man	Family Man	Romantik, Komödie				53	68	6.8	
2001	Captain Corelli's Mandolin	Corellis Mandoline	Krieg, Romantik				28	50	5.9	
2001	Christmas Carol: The Movie	Ein Weihnachtsmärchen	Familie, Fantasy				13	29	5.3	
2002	Adaptation	– Der Orchideen-Dieb	Komödie, Drama				90	84	7.7	
2002	Sonny		Drama				21	45	5.5	
2002	Windtalkers		Krieg, Action				33	50	6.1	
2003	Matchstick Men	Tricks	Krimi, Komödie				82	73	7.3	
2004	National Treasure	Das Vermächtnis der Tempelritter	Abenteuer, Action	62	65	64	46	76	6.9	
2005	Lord of War	– Händler des Todes	Krimi, Drama		90	90	62	84	7.6	
2005	The Weather Man		Komödie, Drama				60	58	6.6	
2006	The Ant Bully	Lucas, der Ameisenschreck	Animation, Familie				62	43	5.9	
2006	The Wicker Man	– Ritual des Bösen	Horror, Thriller		35	35	15	17	3.8	
2006	World Trade Center		Drama, Historie	40	61	51	66	62	6	
2007	Ghost Rider		Action, Fantasy	73	69	71	27	48	5.3	
2007	National Treasure: Book of Secrets	Das Vermächtnis des geheimen Buches	Abenteuer, Action	76	75	76	36	67	6.5	
2007	Next		Sci-Fi, Action				28	57	6.2	
2008	Bangkok Dangerous		Action, Thriller				8	24	5.3	
2009	Astro Boy	– Der Film	Animation, Sci-Fi				50	50	6.2	
2009	Bad Lieutenant: Port of Call New Orleans	– Cop ohne Gewissen	Krimi, Drama				86	58	6.6	
2009	G-Force	– Agenten mit Biss	Animation, Komödie		69	69	22	38	5.1	
2009	Knowing	– Die Zukunft endet jetzt	Sci-Fi, Thriller				34	48	6.2	
2010	Kick-Ass		Action, Komödie		88	88	77	81	7.6	
2010	The Sorcerer's Apprentice	Duell der Magier	Fantasy, Action	65	59	62	40	53	6.1	
2011	Drive Angry		Action, Fantasy				47	35	5.4	
2011	Ghost Rider: Spirit of Vengeance		Action, Fantasy		49	49	19	31		
2011	Seeking Justice	Pakt der Rache	Thriller, Krimi				28	36	6.1	
2011	Season of the Witch	Der letzte Tempelritter	Fantasy, Action	52	57	55	11	29	5.4	
2011	Trespass		Thriller, Action				10	22	5.3	
2011	Stolen		Action, Thriller	69	69	69	20	33	5.5	
2012	Joe	– Die Rache ist sein	Drama				86	64	6.9	
2013	The Croods	Die Croods	Animation, Familie				72	77	7.2	
2013	The Frozen Ground	Frozen Ground	Krimi, Thriller	50	50	61	53	6.4		
2014	Dying of the Light	– Jede Minute zählt	Action, Thriller	20	20	20	10	23	4.4	
2014	Left Behind		Thriller, Drama	12	51	32	0	57	3.1	
2014	Outcast	– Die letzten Tempelritter	Action, Abenteuer				4	25	4.6	
2014	Tokarev	– Die Vergangenheit stirbt niemals	Krimi, Thriller				12	21	5	
2015	Pay the Ghost		Thriller, Horror				10	27	5.2	
2015	The Runner	Der Kandidat – Macht hat ihren Preis	Drama, Thriller				24	23	4.7	
2016	Army of One		Action, Thriller	90	73	82	25	28	5	
2016	Dog Eat Dog		Krimi, Drama				49	20	4.8	
2016	Snowden		Biopic, Drama		75	75	60	70		
2016	The Trust		Krimi, Thriller	55	62	59	63	41	5.4	
2016	USS Indianapolis: Men of Courage		Krieg, Drama				17	30	5.3	
2017	Arsenal		Action, Krimi				3	18	4	
2017	Inconceivable	Tödliches Verlangen	Thriller, Krimi				31	32	5.2	
2017	Mom and Dad		Horror, Komödie	65	65	65	75	46	5.6	
2017	The Humanity Bureau	– Flucht aus New America	Sci-Fi, Drama				25	24	4.6	
2017	Vengeance: A Love Story	– Pfad der Vergeltung	Krimi, Thriller				24		5.2	
2018	211	– Cops under Fire	Action, Krimi				4	10	4.4	
2018	Between Worlds		Sci-Fi, Thriller	29	39	34	33	35	4.3	
2018	Looking Glass	Willkommen im Motor Way Motel	Thriller, Mystery				17	17	4.6	
2018	Mandy		Horror, Action		98	97	98	90		
2018	Spider-Man: Into the Spider-Verse	Spider-Man: A New Universe	Animation, Action	95	95	97	94	8.4		
2018	Teen Titans Go! To the Movies		Animation, Komödie				91	72	6.7	
2019	A Score to Settle		Action, Krimi	40	57	49	15	24	4.7	
2019	Color Out of Space	Die Farbe aus dem All	Horror, Sci-Fi				86	76	6.2	
2019	Grand Isle	– Mörderische Falle	Thriller, Krimi				9	39	4.6	
2019	Kill Chain		Action, Thriller					39	5	
2019	Primal	– Die Jagd ist eröffnet	Action, Thriller	42	57	50	37	26	4.9	
2019	Running with the Devil		Thriller, Drama	28	15	22	24	38	5.5	
2020	Jiu Jitsu		Action, Thriller		5	5	28	22		
2020	The Croods: A New Age	Die Croods – Alles auf Anfang	Animation, Familie				77	94	6.9	
2021	Pig		Drama	75	81	78	97	84	6.9	
2021	Prisoners of the Ghostland		Sci-Fi, Thriller				62	25	4.2	
2021	Willy's Wonderland		Horror, Komödie		40	40	62	70		
2022	Butcher's Crossing		Western, Drama				74	62	5.7	
2022	The Unbearable Weight of Massive Talent	Massive Talent	Action, Komödie		70	70	87	87	7	
2023	Dream Scenario		Komödie, Fantasy		78	78	91	69		
2023	Renfield		Komödie, Horror		83	83	58	78		
2023	Sympathy for the Devil		Krimi, Thriller				60	48	5.5	
2023	The Old Way		Western				33	70	5.6	
2023	The Retirement Plan		Action, Komödie				60	40	5.1	
2024	Longlegs		Horror, Thriller		65	65	86	61		
2024	Arcadian		Sci-Fi, Horror				78	56	5.5	
2024	The Surfer		Thriller, Drama				84	47	5.6	
2025	The Carpenter's Son		Drama							
2025	Gunslingers		Action, Western							
